# Task: sitting,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
37000,43.75,0.43,13.67,0.47,12,0
37250,43.75,0.83,13.2,0.4,11,0.63
37500,44,0,12.67,0.47,11.67,0.47
37750,43.75,0.43,13.5,0.5,9.67,0.47
38000,44,0,13.75,0.43,10.33,0.47
38250,43.33,0.47,12.33,2.49,13.25,4.6
38500,43.25,0.83,13.75,3.63,12,6.36
38750,42.5,0.5,17.5,1.12,17.75,1.09
39000,42.25,0.43,18,0.71,16.75,1.3
39250,42.5,0.5,15.75,0.43,18,0
39500,42.5,0.5,16.75,0.83,17.75,0.43
39750,42,0,18.5,0.87,19.25,1.48
40000,42,0,20,0,18.75,0.83
40250,42.25,0.43,20.67,0.47,16,0.82
40500,42.5,0.5,19.5,0.5,20.75,0.43
40750,42.5,0.5,18.75,0.43,21,0
41000,42.33,0.47,20,0.71,21,0
41250,42.5,0.5,21,0,19.25,1.3
41500,42.5,0.5,19.75,1.3,19,1.58
41750,42,0,17.33,0.47,13.75,1.79
42000,42.25,0.43,18,0,17.5,1.5
42250,42.5,0.5,18.5,0.87,19.75,1.3
42500,42.5,0.5,18.25,0.43,20.25,0.43
42750,42.25,0.43,18.25,0.43,20.75,0.43
43000,42.5,0.5,19.75,1.09,20.5,0.5
43250,42.5,0.5,19.25,0.43,21.25,0.43
43500,42.5,0.5,18.67,0.47,21.33,0.47
43750,42.25,0.43,19.8,0.75,20.8,0.75
44000,42.5,0.5,20.67,0.47,20.33,0.94
44250,42.33,0.47,19.75,1.3,22,0.82
44500,42.33,0.47,15,2.45,20.75,0.43
44750,42.5,0.5,12,0.71,20,1.22
45000,42.5,0.5,13.75,0.43,16.75,1.09
45250,42.5,0.5,15,0,19.25,0.43
45500,42.75,0.43,15,0,19.5,1.12
45750,42.5,0.5,15.75,0.83,20.75,0.43
46000,42.5,0.5,17.25,0.43,20.75,0.43
46250,42.5,0.5,16,0.82,19,0.82
46500,42.67,0.47,15,0,19.5,1.5
46750,42.4,0.49,15,0,20,0.89
47000,42.67,0.47,17.75,0.43,20.67,0.47
47250,42.75,0.43,19.75,1.09,21.25,0.43
47500,42.5,0.5,21,0,20.75,0.43
47750,42.33,0.47,19.33,0.47,21,0
48000,42.5,0.5,18.25,0.43,21,0
48250,42.5,0.5,19.5,0.87,21,0
48500,42.5,0.5,20.25,0.43,20.75,0.43
48750,42.5,0.5,20.75,0.43,20.5,0.5
49000,42.75,0.43,20.75,0.43,21,0
49250,42.75,0.43,18.5,1.12,20,0.71
49500,42.5,0.5,17.67,0.47,19.33,0.94
49750,42.67,0.47,18,0,18.67,0.94
50000,42.4,0.49,18,0,18.4,0.49
50250,42.67,0.47,18,0,19,0
50500,42.5,0.5,18,0,19.5,0.5
50750,42.67,0.47,18,0,19.33,1.25
51000,42.33,0.47,18.33,0.47,21,0
51250,42.33,0.47,19,0.82,21,0
51500,42.5,0.5,18.67,0.47,20.33,0.47
51750,42.5,0.5,19.8,0.4,21.6,0.49
52000,42.75,0.43,20.25,0.43,21,0
52250,42.5,0.5,21,0,21,0
52500,42.5,0.5,20.75,0.43,21,0
52750,42.5,0.5,21,0,21,0
53000,42.5,0.5,21.25,0.43,18.25,1.79
53250,42.67,0.47,21.5,0.87,17,0.82
53500,42.5,0.5,20.25,0.43,20,1.22
53750,42.75,0.43,19.75,0.43,20.5,0.5
54000,42.33,0.47,20.33,0.47,20.75,0.43
54250,42.5,0.5,19,0.71,20.75,0.43
54500,42.5,0.5,20.75,0.43,21,0
54750,42.5,0.5,21.25,0.43,20,0.71
55000,42.5,0.5,22,1,19,1
55250,42.5,0.5,21,0,19,0.82
55500,43,0.71,21.25,0.43,19,0.71
55750,43.67,0.47,20.75,0.43,18.33,0.47
56000,43.25,0.83,21,0,17.75,0.83
56250,42.67,0.94,20,0,19,0.71
56500,43.5,0.5,20.75,0.43,18.75,0.83
56750,43.25,0.43,21,0,19.25,0.83
57000,43.5,0.5,21,0,16,1.41
57250,43.25,0.83,21,0,18.25,1.48
57500,43.5,0.5,21,0,18.75,0.43
57750,43,0.71,21,0,18.5,0.5
58000,43,1,21,0,18.5,0.5
58250,42.5,0.5,20,1.41,18.33,0.47
58500,43.33,0.47,18,0,17.33,0.47
58750,43,0.89,18,0,16.6,0.8
59000,43,0.82,20,0.71,18,0
59250,43,1,20,0,17.25,1.3
59500,43,0,20.67,0.47,14.75,1.48
59750,42.75,0.83,21.75,0.43,16,1.22
60000,42.5,0.5,21,0,15.75,0.83
60250,42.25,0.43,21,0,15.25,0.43
60500,42.5,0.5,20.75,0.43,16,0.71
60750,42,0,19,0.71,14.25,0.83
61000,42.25,0.43,18,0,12.25,0.43
61250,42,0,18,0,11.5,0.87
61500,42.25,0.43,19.75,0.43,11.75,0.43
61750,42.25,0.43,19,0,11,0.82
62000,42.25,0.43,19.5,0.5,10,0.82
62250,42.5,0.5,20,0,5,3.08
62500,42.5,0.5,20.75,0.43,7.75,1.79
62750,42.67,0.47,19.5,0.87,11.33,0.47
63000,42.33,0.47,18.67,0.47,15,2.45
63250,42.5,0.5,18.5,0.5,16,1.22
63500,42.5,0.5,18,0,18.25,0.43
63750,42.5,0.5,18,0,17,0.71
64000,42.5,0.5,18,0,16.67,1.25
64250,42.25,0.43,18,0,16.75,0.83
64500,42.67,0.47,18,0,17.67,0.47
64750,42.5,0.5,18.25,0.43,17,0.71
65000,42.33,0.47,18,0,17.25,0.83
65250,42,0,18,0,17.25,0.43
65500,42.25,0.43,17.75,0.43,16.5,1.12
65750,42,0,18,0,17.5,0.5
66000,42,0,17.5,0.5,17.5,0.5
66250,42,0,17.5,0.87,16.25,1.09
66500,42.25,0.43,15.25,0.43,18,0
66750,42.5,0.5,16.75,0.83,17.75,0.43
67000,42,0,18,0,16.33,0.94
67250,42,0,18,0,17.25,0.83
67500,42,0,18,0,18,0
67750,42.25,0.43,18,0,17.25,0.43
68000,42,0,18,0,17.5,0.5
68250,42,0,18,0,17.75,0.43
68500,42,0,18.25,0.43,17.75,1.09
68750,42.25,0.43,18.25,0.43,17.75,0.43
69000,42,0,18,0,17.75,0.43
69250,42,0,18,0,16.75,0.83
69500,42,0,18,0,17.5,0.5
69750,42,0,18,0,16.75,0.83
70000,42,0,18,0,17,0.82
70250,42,0,18,0,17.5,0.5
70500,42,0,18,0,17.5,0.5
70750,42,0,18,0,17.25,0.43
71000,42,0,18,0,17,0.82
71250,42.25,0.43,18,0,17.25,0.83
71500,42,0,18,0,17.25,0.83
71750,42,0,18,0,16.5,0.5
72000,42,0,18,0,16.5,1.12
72250,42,0,18,0,17.5,0.5
72500,42,0,18,0,17.75,0.43
72750,42,0,18,0,17,0.71
73000,42,0,18,0,17.25,0.43
73250,42,0,18,0,17,0.71
73500,42,0,18,0,17.25,0.83
73750,42,0,18,0,17.25,0.83
74000,42,0,18,0,16.33,0.47
74250,42.25,0.43,18.25,0.43,16,0.71
74500,42,0,18.5,0.5,15,0
74750,42,0,18.25,0.43,16.5,1.5
75000,42,0,18,0,16,1
75250,42,0,18,0,16.5,1.12
75500,42,0,18,0,17,1
75750,42,0,18,0,16,0.71
76000,42,0,18,0,16,0.71
76250,42,0,18,0,15.75,0.83
76500,42,0,18,0,16,1
76750,42,0,18,0,16,0.71
77000,42,0,18.25,0.43,16.25,1.09
77250,42.25,0.43,18.25,0.43,16.25,0.83
77500,42,0,18,0,16,0.71
77750,42,0,18,0,17,0.82
78000,42,0,18,0,17.25,0.83
78250,42,0,18,0,17.5,0.87
78500,42.25,0.43,18,0,17.5,0.87
78750,42,0,18,0,16.75,1.09
79000,42.25,0.43,18,0,17.5,0.5
79250,42,0,18,0,16.33,0.47
79500,42,0,18,0,17.5,0.87
79750,42,0,18,0,17.5,0.87
80000,42.33,0.47,18.33,0.47,16.5,0.87
80250,42,0,18,0,16.25,0.83
80500,42.25,0.43,18.75,0.43,16.5,0.87
80750,42,0,18.67,0.47,17,0.82
81000,42,0,18.67,0.47,17,0.82
81250,42.07,0.26,18,0,16.43,0.82
81500,42.07,0.26,18,0,16.43,0.82
81750,42,0,18.5,0.5,15.33,0.47
82000,42,0,18.33,0.47,16.75,1.09
82250,42,0,20,0.82,18,0
82500,42,0,21,0,20.25,1.3
82750,42,0,21.25,0.43,19.75,1.3
83000,42,0,21,0,19.25,0.83
83250,42,0,21,0,18.25,0.43
83500,42.25,0.43,19.75,0.83,19.25,1.3
83750,42.25,0.43,20.75,0.43,21,0
84000,42,0,21,0,21,0
84250,42,0,21,0,20.67,0.47
84500,42,0,21,0,21,0
84750,42,0,21,0,21,0
85000,42,0,21,0,21,0
85250,42,0,21,0,19.67,0.94
85500,42,0,21,0,18.5,0.5
85750,42,0,21,0,19.5,0.5
86000,42,0,21,0,20,0.71
86250,42,0,19.5,0.5,19,0.71
86500,42,0,20.75,0.43,20,1
86750,42,0,21,0,20.75,0.43
87000,42,0,22,0.71,19.33,1.25
87250,42.25,0.43,21.33,0.47,20.67,0.47
87500,42,0,21,0,20.75,0.43
87750,42,0,21,0,21,0
88000,42,0,21.67,0.47,19.67,1.89
88250,42,0,22.25,0.43,19.5,0.87
88500,42,0,21,0,19.75,0.83
88750,42,0,20.75,0.43,20.33,0.47
89000,42,0,20,0,18.33,0.47
89250,42,0,21,0,20,1.22
89500,42,0,21.5,0.5,20.25,0.83
89750,42,0,21.75,0.43,19.75,1.09
90000,42,0,22.25,0.43,18.25,0.43
90250,42,0,21.5,0.5,18.5,0.5
90500,42,0,21.25,0.43,19,0.71
90750,42,0,21,0,18.67,0.47
91000,42,0,21,0,19.25,0.43
91250,42,0,20.5,0.5,17.5,0.5
91500,42,0,20.33,0.47,17.67,0.47
91750,42,0,20.33,0.47,17.67,0.47
92000,42.1,0.3,21.27,0.45,17.36,2.35
92250,42.25,0.43,18.5,0.87,9.75,3.19
92500,42.25,0.43,18.25,0.43,9.75,0.83
92750,42,0,20.25,0.83,12,1.87
93000,42,0,18,0,12.67,0.94
93250,42,0,19.75,0.83,11.33,0.94
93500,42,0,14.33,3.3,15,2.12
93750,42,0,15,2.94,16,0.82
94000,42,0,16.25,1.3,11.75,1.79
94250,43.5,0.5,16,0.71,4,0.82
94500,44.25,0.83,15,0,2,0
94750,43.67,0.47,13.75,1.3,10.33,1.89
95000,42.75,0.83,9.5,1.5,11.75,0.43
95250,42.5,0.5,16.25,1.3,12.5,0.5
95500,42.33,0.47,10.67,3.4,16.5,2.69
95750,42.5,0.5,0,0,17.25,0.83
96000,43.33,0.47,4.67,3.3,13.75,1.3
96250,44.25,0.43,9.75,1.48,4.75,3.11
96500,45,0,11.75,0.43,3.5,0.87
96750,44.75,0.43,4.33,3.4,1,0
97000,44.5,0.5,8.67,0.47,1.5,0.5
97250,44.5,0.5,8.67,0.47,2,0
97500,44.25,0.83,9.33,0.47,8.5,0.5
97750,43.5,0.5,11,1.22,10.75,1.09
98000,44.5,0.5,3.5,0.5,7.5,1.5
98250,44.67,0.47,1.67,0.94,5.5,0.5
98500,44.5,0.5,5.67,0.47,8.67,2.05
98750,44.33,0.47,5.67,0.94,11,1.22
99000,44.25,0.83,3,0,11.25,0.43
99250,44.5,0.5,5,1.22,10.25,1.09
99500,44.5,0.5,5.75,0.43,10,0.71
99750,44.5,0.5,4.75,0.43,11.25,0.83
100000,44.5,0.5,5.25,0.43,11,0.71
100250,44.5,0.5,5,0,11.75,0.43
100500,44.5,0.5,6,0,11.67,0.47
100750,44.5,0.5,5.75,0.43,12,0
101000,44.5,0.5,3.33,1.25,12,0
101250,43.5,1.12,11,3.24,14.75,1.64
101500,42.5,0.5,12,4.24,12.75,1.3
101750,42,0,19.75,1.09,13.25,1.3
102000,42.25,0.43,20,1.22,16,1.41
102250,42,0,16,0.82,18,0
102500,42,0,18,0.71,20,0.71
102750,42,0,19.33,0.47,18.33,0.47
103000,42.25,0.43,18,0,16.75,1.09
103250,42.5,0.5,18.25,0.43,16.25,0.43
103500,42.25,0.43,18,0,18,1.22
103750,42,0,19.75,1.3,20,0.82
104000,42.25,0.43,21,0,18.5,0.5
104250,42,0,21,0,15.75,0.43
104500,42,0,19.5,1.12,17.5,2.18
104750,42,0,20.67,0.47,20.5,0.87
105000,42.25,0.43,18.75,0.83,18.25,0.83
105250,42.25,0.43,19,0.71,17,0.71
105500,42.25,0.43,20.75,0.43,17.75,1.09
105750,42.25,0.43,21,0,18.5,0.5
106000,42.5,0.5,23,0.71,17,1
106250,42.25,0.43,19,1.41,16.67,0.47
106500,42.25,0.43,19.6,0.49,18.2,0.4
106750,42,0,19,1,20,1
107000,42,0,18,0,21,0
107250,42.21,0.41,19.46,0.84,19.31,1.38
107500,42.67,0.47,20.25,0.43,20.33,0.47
107750,42.33,0.47,21,0,20.67,0.47
108000,42,0,20.67,0.47,21.5,0.87
108250,42,0,19,0.71,21,0
108500,42,0,19,0,20.25,0.83
108750,42,0,20.25,0.83,19.25,0.43
109000,42,0,20.75,0.43,18.25,0.43
109250,42.5,0.5,20,0,19.5,0.87
109500,42.25,0.43,21.25,0.43,16.75,0.83
109750,42,0,20.5,0.5,17.75,1.09
110000,42,0,20.75,0.43,19,0.71
110250,42.25,0.43,21,0,18,0
110500,42.5,0.5,21,0,15,0.82
110750,42,0,21,0,16.67,0.47
111000,42.33,0.47,21,0,15,0
111250,42.33,0.47,21,0,12.5,0.5
111500,42.25,0.43,20,0,15.5,2.96
111750,42,0,20.67,0.47,17,1
112000,42,0,20.75,0.43,15.5,0.5
112250,42,0,21,0,16.33,1.25
112500,42.25,0.43,19.25,1.3,18.25,0.83
112750,42.25,0.43,16.33,0.47,18.25,0.43
113000,42.5,0.5,16.5,0.87,18,0
113250,42.5,0.5,20.33,0.94,14.67,0.47
113500,42.67,0.47,18.75,0.83,18.67,0.94
113750,42.5,0.5,20.25,0.43,20.5,0.87
114000,42.25,0.43,21,0,20.25,0.43
114250,42.33,0.47,21,0,20.25,0.43
114500,42.25,0.43,20,0,18,0.71
114750,42.25,0.43,19.5,0.5,16.5,1.12
115000,42.25,0.43,20,0,16.5,1.12
115250,42.25,0.43,20,0,16.75,0.43
115500,42.25,0.43,19.75,0.83,16.33,0.94
115750,42.5,0.5,19.75,0.43,15,0
116000,42.25,0.43,20.75,0.43,13.5,1.5
116250,42.5,0.5,20.75,0.43,15.25,1.79
116500,42.25,0.43,19.33,0.47,19.33,0.94
116750,42.25,0.43,20.5,0.5,20,0.71
117000,42.67,0.47,20.5,0.5,21,0
117250,42.5,0.5,20.25,0.43,20.5,0.5
117500,42,0,19.33,0.94,19.75,0.43
117750,42,0,19.4,0.49,18,0
118000,42,0,18.33,0.47,18.25,1.09
118250,42.25,0.43,18,0,17.75,1.09
118500,42.25,0.43,18,0,16.5,1.12
118750,42,0,18,0,16,0.82
119000,42.5,0.5,18,0,15.25,0.43
119250,42.5,0.5,18.25,0.43,16,1.22
119500,42.25,0.43,20,0.71,19,1
119750,42.5,0.43,18,0.43,17,0.82
